,reviewid,Energy,Danceability,Happiness,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Key,Tempo,Duration
0,22703.0,0.5367272727272727,0.6041818181818182,0.36000909090909095,-11.009454545454544,0.10276818181818183,0.6088181818181817,0.11602727272727273,0.04455454545454545,6.0,126.18100000000003,347475.1818181818
1,22721.0,0.867,0.131,0.09745,-10.0625,1.4020000000000001e-05,0.70275,0.371,0.0791,5.5,125.41725000000002,522000.0
2,22659.0,0.67525,0.44499999999999995,0.498125,-7.417625000000001,0.239873725,0.2532515925,0.171575,0.20676249999999996,5.25,108.22425,175396.375
3,,,,,,,,,,,,
4,22725.0,0.5588571428571428,0.5502857142857143,0.3672,-11.079285714285714,0.017701042857142857,0.6891142857142857,0.39785714285714285,0.12805714285714287,5.428571428571429,128.852,236645.7142857143
5,,,,,,,,,,,,
6,22704.0,0.6504,0.5925333333333334,0.4872666666666667,-8.356866666666667,0.246144,0.09477555800000001,0.20972666666666664,0.11893333333333334,4.666666666666667,124.51046666666664,177869.8
7,22694.0,0.51975,0.64675,0.078475,-14.4015,0.220655,0.913,0.1251,0.058175000000000004,1.0,129.26075,400285.5
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,22715.0,0.198,0.1216,0.0256,-25.3705,0.297,0.73,0.12,0.10394999999999999,8.0,84.188,1020636.5
11,22745.0,0.6660714285714286,0.6688571428571429,0.4195000000000001,-7.6399285714285705,0.10556142857142857,0.00011399142857142856,0.25402857142857144,0.23952857142857148,5.642857142857143,119.20328571428573,221060.07142857142
12,22700.0,0.4120909090909091,0.5654545454545455,0.2951181818181818,-13.416272727272728,0.26644411818181823,0.7618272727272728,0.14882727272727278,0.08953636363636365,5.818181818181818,124.55754545454548,152614.9090909091
13,,,,,,,,,,,,
14,,,,,,,,,,,,
20,22702.0,0.24700000000000003,0.2038,0.08474999999999999,-14.604833333333334,0.3667,0.6676666666666665,0.12311666666666667,0.03358333333333333,4.0,90.02416666666666,632940.0
21,,,,,,,,,,,,
22,22706.0,0.47175,0.341,0.119125,-10.473749999999999,0.273875,0.0025782500000000002,0.08614999999999999,0.07427500000000001,1.25,100.09675,960953.5
23,,,,,,,,,,,,
24,22713.0,0.35166,0.34779999999999994,0.14661333333333332,-14.724600000000002,0.6333493333333334,0.152611626,0.21548666666666666,0.09084666666666667,4.133333333333334,110.9786,216252.13333333333
25,22705.0,0.5288333333333334,0.607,0.6590833333333334,-6.6747499999999995,0.5862499999999998,6.468750000000001e-05,0.15815833333333337,0.03506666666666667,4.5,121.61308333333331,188291.08333333334
26,22532.0,0.7323333333333333,0.5342222222222222,0.5523333333333332,-6.3437777777777775,0.1550711111111111,0.5546,0.22440000000000002,0.03026666666666667,5.888888888888889,121.66766666666666,219784.55555555556
27,22701.0,0.241475,0.3605,0.10033750000000001,-16.43025,0.61425,0.7625000000000002,0.106125,0.0490125,4.25,98.949,252157.125
28,,,,,,,,,,,,
29,22708.0,0.58875,0.612125,0.36737500000000006,-9.01425,0.17725625,6.752750000000001e-05,0.26513124999999993,0.37526250000000005,5.3125,123.5846875,289048.125
30,22559.0,0.848,0.3704545454545455,0.18342727272727274,-6.027181818181819,0.045923599999999995,0.028765663636363636,0.3090545454545454,0.1188,4.0,107.12136363636364,290118.8181818182
31,22692.0,0.5752307692307692,0.8399999999999999,0.41392307692307695,-6.856384615384616,0.12263846153846154,9.076923076923076e-06,0.1555,0.21903076923076925,5.3076923076923075,129.91746153846154,198416.84615384616
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,22711.0,0.7229166666666665,0.6574166666666666,0.5234166666666668,-6.091583333333333,0.3116916666666667,1.0083333333333334e-05,0.17426666666666668,0.25808333333333333,6.583333333333333,109.17758333333335,227310.08333333334
35,22678.0,0.8028461538461538,0.6040769230769231,0.6052307692307692,-6.201538461538462,0.33438461538461534,4.723076923076923e-05,0.3175692307692307,0.3761076923076923,7.0,122.10569230769231,177938.46153846153
36,,,,,,,,,,,,
37,22685.0,0.796,0.7731249999999998,0.6555,-5.3115,0.009596125,0.32320875,0.16521249999999998,0.10657499999999999,4.125,124.860625,286552.625
38,22690.0,0.23415714285714287,0.3565714285714285,0.15298571428571428,-11.56357142857143,0.6116285714285714,0.08042732857142856,0.11482857142857142,0.033742857142857144,5.857142857142857,104.965,327863.14285714284
39,22689.0,0.6427499999999999,0.5089375000000002,0.42201875,-6.761125,0.16720625,0.017727338125000002,0.33236250000000006,0.061825000000000005,4.1875,106.4716875,141294.9375
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
35,22678.0,0.8028461538461538,0.6040769230769231,0.6052307692307692,-6.201538461538462,0.33438461538461534,4.723076923076923e-05,0.3175692307692307,0.3761076923076923,7.0,122.10569230769231,177938.46153846153
36,,,,,,,,,,,,
37,22685.0,0.796,0.7731249999999998,0.6555,-5.3115,0.009596125,0.32320875,0.16521249999999998,0.10657499999999999,4.125,124.860625,286552.625
38,22690.0,0.23415714285714287,0.3565714285714285,0.15298571428571428,-11.56357142857143,0.6116285714285714,0.08042732857142856,0.11482857142857142,0.033742857142857144,5.857142857142857,104.965,327863.14285714284
39,22689.0,0.6427499999999999,0.5089375000000002,0.42201875,-6.761125,0.16720625,0.017727338125000002,0.33236250000000006,0.061825000000000005,4.1875,106.4716875,141294.9375
40,,,,,,,,,,,,
41,22681.0,0.49491666666666667,0.7075,0.23326666666666665,-8.989083333333335,0.09098774999999999,0.5734333333333334,0.19240000000000004,0.11261666666666666,4.916666666666667,121.87533333333334,396165.75
42,22698.0,0.5796666666666667,0.6466666666666667,0.2889,-10.990666666666668,0.09943333333333333,0.3260224333333333,0.21966666666666668,0.22233333333333336,8.0,157.0653333333333,319161.6666666667
43,22684.0,0.0759696,0.276,0.08349999999999999,-20.4394,0.9792,0.6581400000000001,0.09694,0.04498,4.6,105.24100000000001,276357.6
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,22696.0,0.38289999999999996,0.6828,0.31767999999999996,-11.4492,0.5238,0.010061682999999998,0.14904,0.22208999999999998,6.8,114.70900000000002,267181.4
50,,,,,,,,,,,,
51,22687.0,0.63675,0.52725,0.38675000000000004,-7.71875,0.362375,0.20735425,0.21267499999999998,0.164825,5.0,95.79375,201685.75
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,22627.0,0.6780999999999999,0.7061,0.24763000000000007,-11.0913,0.034130230000000004,0.9067000000000001,0.11862999999999999,0.08371999999999999,6.8,124.93159999999997,697976.2
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,22657.0,0.46137500000000004,0.36124999999999996,0.08486250000000001,-16.791875,0.1122375,0.63402,0.18564999999999998,0.1817125,6.5,101.45437500000001,219666.375
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,22650.0,0.5860999999999998,0.5852,0.3912,-6.5074,0.14184170000000001,0.16337888999999997,0.18478,0.06917000000000001,6.3,137.075,230231.6
93,22651.0,0.6347,0.62165,0.4286849999999999,-10.4496,0.4332235000000001,0.5228920499999999,0.18745999999999996,0.08355000000000001,5.8,106.21755,128066.7
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
35,22678.0,0.8028461538461538,0.6040769230769231,0.6052307692307692,-6.201538461538462,0.33438461538461534,4.723076923076923e-05,0.3175692307692307,0.3761076923076923,7.0,122.10569230769231,177938.46153846153
36,,,,,,,,,,,,
37,22685.0,0.796,0.7731249999999998,0.6555,-5.3115,0.009596125,0.32320875,0.16521249999999998,0.10657499999999999,4.125,124.860625,286552.625
38,22690.0,0.23415714285714287,0.3565714285714285,0.15298571428571428,-11.56357142857143,0.6116285714285714,0.08042732857142856,0.11482857142857142,0.033742857142857144,5.857142857142857,104.965,327863.14285714284
39,22689.0,0.6427499999999999,0.5089375000000002,0.42201875,-6.761125,0.16720625,0.017727338125000002,0.33236250000000006,0.061825000000000005,4.1875,106.4716875,141294.9375
40,,,,,,,,,,,,
41,22681.0,0.49491666666666667,0.7075,0.23326666666666665,-8.989083333333335,0.09098774999999999,0.5734333333333334,0.19240000000000004,0.11261666666666666,4.916666666666667,121.87533333333334,396165.75
42,22698.0,0.5796666666666667,0.6466666666666667,0.2889,-10.990666666666668,0.09943333333333333,0.3260224333333333,0.21966666666666668,0.22233333333333336,8.0,157.0653333333333,319161.6666666667
43,22684.0,0.0759696,0.276,0.08349999999999999,-20.4394,0.9792,0.6581400000000001,0.09694,0.04498,4.6,105.24100000000001,276357.6
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,22696.0,0.38289999999999996,0.6828,0.31767999999999996,-11.4492,0.5238,0.010061682999999998,0.14904,0.22208999999999998,6.8,114.70900000000002,267181.4
50,,,,,,,,,,,,
51,22687.0,0.63675,0.52725,0.38675000000000004,-7.71875,0.362375,0.20735425,0.21267499999999998,0.164825,5.0,95.79375,201685.75
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
